"time","infectedAmount","deadAmount","immunityAmount","deltaInfectedAmount"
20,1,0,0,1
40,1,0,0,0
60,1,0,0,0
80,1,0,0,0
100,1,0,0,0
120,1,0,0,0
140,1,0,0,0
160,1,0,0,0
180,1,0,0,0
200,1,0,0,0
220,1,0,0,0
240,1,0,0,0
260,1,0,0,0
280,1,0,0,0
300,1,0,0,0
320,1,0,0,0
340,1,0,0,0
360,1,0,0,0
380,1,0,0,0
400,1,0,0,0
420,1,0,0,0
440,1,0,0,0
460,1,0,0,0
480,1,0,0,0
500,2,0,0,1
520,2,0,0,0
540,2,0,0,0
560,2,0,0,0
580,2,0,0,0
600,2,0,0,0
620,2,0,0,0
640,2,0,0,0
660,2,0,0,0
680,2,0,0,0
700,2,0,0,0
720,2,0,0,0
740,2,0,0,0
760,2,0,0,0
780,3,0,0,1
800,3,0,0,0
820,3,0,0,0
840,3,0,0,0
860,3,0,0,0
880,3,0,0,0
900,3,0,0,0
920,3,0,0,0
940,4,0,0,1
960,4,0,0,0
980,6,0,0,2
1000,6,0,0,0
1020,6,0,0,0
1040,6,0,0,0
1060,6,0,0,0
1080,6,0,0,0
1100,6,0,0,0
1120,7,0,0,1
1140,7,0,0,0
1160,7,0,0,0
1180,7,0,0,0
1200,7,0,0,0
1220,7,0,0,0
1240,8,0,0,1
